config_id,strategy,status,sharpe,n_trades,max_drawdown,profit_factor,cum_return,calmar,long_pct,params
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.6870449779750675,109,-0.10478638738262269,0.6824505879504223,-0.08465834149976548,-0.1306152961285882,0.4128,"{""long_period"": 34, ""short_period"": 12}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.6870449779750675,109,-0.10478638738262269,0.6824505879504223,-0.08465834149976548,-0.1306152961285882,0.4128,"{""long_period"": 72, ""short_period"": 16}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.7298640513668305,136,-0.108165275855862,0.6815891278141771,-0.09306194706526827,-0.13962844209337352,0.3676,"{""long_period"": 26, ""short_period"": 17}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.7298640513668305,136,-0.108165275855862,0.6815891278141771,-0.09306194706526827,-0.13962844209337352,0.3676,"{""long_period"": 59, ""short_period"": 8}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.9103247872034206,140,-0.10078630177949399,0.6492673856802751,-0.09159147129114786,-0.1473844632110924,0.3786,"{""long_period"": 33, ""short_period"": 10}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.9103247872034206,140,-0.10078630177949399,0.6492673856802751,-0.09159147129114786,-0.1473844632110924,0.3786,"{""long_period"": 94, ""short_period"": 6}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.18220349705788244,121,-0.08129128792633256,0.9133778121671345,-0.022108847568456214,-0.042772353417738454,0.4215,"{""long_period"": 47, ""short_period"": 11}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.07792916004522507,110,-0.07314374100364252,0.9698552255212782,-0.008095213596472028,-0.017301807507296988,0.4727,"{""long_period"": 37, ""short_period"": 7}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.07792916004522507,110,-0.07314374100364252,0.9698552255212782,-0.008095213596472028,-0.017301807507296988,0.4727,"{""long_period"": 56, ""short_period"": 7}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.07792916004522507,110,-0.07314374100364252,0.9698552255212782,-0.008095213596472028,-0.017301807507296988,0.4727,"{""long_period"": 82, ""short_period"": 6}"
